timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746303118751,471,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-1,text,true,,5829,521,5,5,https://jpetstore.aspectran.com/,468,0,148
1746303118972,461,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-2,text,true,,5829,521,5,5,https://jpetstore.aspectran.com/,461,0,137
1746303119259,408,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-1,text,true,,17640,797,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,299,0,154
1746303119259,299,01_01_ClickEnterJPetStoreDemo-0,301,Moved Permanently,Generate Html 1-1,text,true,,531,390,5,5,https://unpkg.com/htmx.org@2.0.3,299,0,154
1746303119558,109,01_01_ClickEnterJPetStoreDemo-1,200,OK,Generate Html 1-1,text,true,,17109,407,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,103,0,0
1746303099740,879,01_01_ClickEnterJPetStoreDemo,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-1,,true,,23469,1318,5,5,null,767,19050,302
1746303119816,330,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-2,text,true,,17660,797,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,239,0,137
1746303119816,239,01_01_ClickEnterJPetStoreDemo-0,301,Moved Permanently,Generate Html 1-2,text,true,,531,390,5,5,https://unpkg.com/htmx.org@2.0.3,239,0,137
1746303120055,91,01_01_ClickEnterJPetStoreDemo-1,200,OK,Generate Html 1-2,text,true,,17129,407,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,84,0,0
1746303099942,791,01_01_ClickEnterJPetStoreDemo,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-2,,true,,23489,1318,5,5,null,700,19417,274
1746303119180,969,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-3,text,true,,5828,521,5,5,https://jpetstore.aspectran.com/,969,0,159
1746303119513,942,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-4,text,true,,5828,521,5,5,https://jpetstore.aspectran.com/,942,0,135
1746303119546,958,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-5,text,true,,5830,521,5,5,https://jpetstore.aspectran.com/,958,0,132
1746303120360,362,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-3,text,true,,17655,797,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,258,0,128
1746303120360,258,01_01_ClickEnterJPetStoreDemo-0,301,Moved Permanently,Generate Html 1-3,text,true,,531,390,5,5,https://unpkg.com/htmx.org@2.0.3,258,0,128
1746303120618,104,01_01_ClickEnterJPetStoreDemo-1,200,OK,Generate Html 1-3,text,true,,17124,407,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,100,0,0
1746303100139,1331,01_01_ClickEnterJPetStoreDemo,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-3,,true,,23483,1318,5,5,null,1227,19254,287
1746303120695,308,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-5,text,true,,17632,797,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,219,0,128
1746303120695,219,01_01_ClickEnterJPetStoreDemo-0,301,Moved Permanently,Generate Html 1-5,text,true,,531,390,5,5,https://unpkg.com/htmx.org@2.0.3,219,0,128
1746303120914,89,01_01_ClickEnterJPetStoreDemo-1,200,OK,Generate Html 1-5,text,true,,17101,407,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,83,0,0
1746303100539,1266,01_01_ClickEnterJPetStoreDemo,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-5,,true,,23462,1318,5,5,null,1177,19200,260
1746303120839,315,01_01_ClickEnterJPetStoreDemo,200,OK,Generate Html 1-4,text,true,,17660,797,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,233,0,137
1746303120839,233,01_01_ClickEnterJPetStoreDemo-0,301,Moved Permanently,Generate Html 1-4,text,true,,531,390,5,5,https://unpkg.com/htmx.org@2.0.3,233,0,137
1746303121072,82,01_01_ClickEnterJPetStoreDemo-1,200,OK,Generate Html 1-4,text,true,,17129,407,5,5,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,74,0,0
1746303100341,1257,01_01_ClickEnterJPetStoreDemo,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-4,,true,,23488,1318,5,5,null,1175,19559,272
1746303156684,344,01_02_ClickOnSignIn,200,OK,Generate Html 1-1,text,true,,5548,600,5,5,https://jpetstore.aspectran.com/account/signonForm,343,0,0
1746303157402,326,01_02_ClickOnSignIn,200,OK,Generate Html 1-2,text,true,,5548,600,5,5,https://jpetstore.aspectran.com/account/signonForm,324,0,0
1746303157259,510,01_02_ClickOnSignIn,200,OK,Generate Html 1-1,text,true,,25801,530,5,5,https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTUGmu1aB.woff2,460,0,136
1746303119667,854,01_02_ClickOnSignIn,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-1,,true,,31349,1130,5,5,null,803,37252,136
1746303157738,224,01_02_ClickOnSignIn,200,OK,Generate Html 1-2,text,true,,25801,530,5,5,https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTUGmu1aB.woff2,171,0,121
1746303120148,550,01_02_ClickOnSignIn,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-2,,true,,31349,1130,5,5,null,495,37268,121
1746303157864,361,01_02_ClickOnSignIn,200,OK,Generate Html 1-3,text,true,,5548,599,5,5,https://jpetstore.aspectran.com/account/signonForm,361,0,0
1746303157961,341,01_02_ClickOnSignIn,200,OK,Generate Html 1-5,text,true,,5548,601,5,5,https://jpetstore.aspectran.com/account/signonForm,340,0,0
1746303158329,211,01_02_ClickOnSignIn,200,OK,Generate Html 1-3,text,true,,25801,530,5,5,https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTUGmu1aB.woff2,162,0,118
1746303120723,572,01_02_ClickOnSignIn,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-3,,true,,31349,1129,5,5,null,523,37248,118
1746303158264,316,01_02_ClickOnSignIn,200,OK,Generate Html 1-4,text,true,,5548,599,5,5,https://jpetstore.aspectran.com/account/signonForm,313,0,0
1746303158440,217,01_02_ClickOnSignIn,200,OK,Generate Html 1-5,text,true,,25801,530,5,5,https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTUGmu1aB.woff2,167,0,119
1746303121004,558,01_02_ClickOnSignIn,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-5,,true,,31349,1131,5,5,null,507,37098,119
1746303158807,226,01_02_ClickOnSignIn,200,OK,Generate Html 1-4,text,true,,25801,530,5,5,https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTUGmu1aB.woff2,173,0,123
1746303121155,542,01_02_ClickOnSignIn,200,"Number of samples in transaction : 2, number of failing samples : 0",Generate Html 1-4,,true,,31349,1129,5,5,null,486,37339,123
1746303208100,1372,01_03_EnterCredsAndClickLogin,200,OK,Generate Html 1-1,text,true,,6171,1457,5,5,https://jpetstore.aspectran.com/,1049,0,211
1746303208100,1049,01_03_EnterCredsAndClickLogin-0,302,Found,Generate Html 1-1,,true,,252,767,5,5,https://jpetstore.aspectran.com/account/signon,1049,0,211
1746303209150,322,01_03_EnterCredsAndClickLogin-1,200,OK,Generate Html 1-1,text,true,,5919,690,5,5,https://jpetstore.aspectran.com/,320,0,0
