timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746293005444,554,HTTP Request,200,OK,Scenario 8- Search 8-1,text,true,,21888,172,1,8,https://jpetstore.aspectran.com/catalog/searchProducts?keyword=fish&keyword=dog,548,0,245
1746293024107,431,05_01_ClickEnterJPetStoreDemo,200,OK,Scenario 5- Shopping Birds 5-1,text,true,,5828,521,1,7,https://jpetstore.aspectran.com/,430,0,134
1746293024164,423,02_01_ClickEnterJPetStoreDemo,200,OK,Scenario 2- Shopping Dog 2-1,text,true,,5830,521,1,7,https://jpetstore.aspectran.com/,421,0,128
1746293024177,418,01_01_ClickEnterJPetStoreDemo,200,OK,Scenario 1- Shopping Fish 1-1,text,true,,5830,521,1,7,https://jpetstore.aspectran.com/,418,0,141
1746293024129,471,07_01_ClickEnterJPetStoreDemo,200,OK,Scenario 7- Add to cart 7-1,text,true,,5829,521,1,7,https://jpetstore.aspectran.com/,467,0,133
1746293024173,456,03_01_ClickEnterJPetStoreDemo,200,OK,Scenario 3- Shopping Reptiles 3-1,text,true,,5829,521,1,7,https://jpetstore.aspectran.com/,455,0,134
1746293024180,464,04_01_ClickEnterJPetStoreDemo,200,OK,Scenario 4- Shopping Cats 4-1,text,true,,5830,521,1,7,https://jpetstore.aspectran.com/,463,0,142
1746293024540,342,05_01_ClickEnterJPetStoreDemo,200,OK,Scenario 5- Shopping Birds 5-1,text,true,,17645,797,1,7,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,250,0,145
1746293024540,251,05_01_ClickEnterJPetStoreDemo-0,301,Moved Permanently,Scenario 5- Shopping Birds 5-1,text,true,,531,390,1,7,https://unpkg.com/htmx.org@2.0.3,250,0,145
1746293024792,90,05_01_ClickEnterJPetStoreDemo-1,200,OK,Scenario 5- Shopping Birds 5-1,text,true,,17114,407,1,7,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,84,0,0
1746293005380,773,05_01_ClickEnterJPetStoreDemo,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 5- Shopping Birds 5-1,,true,,23473,1318,1,7,null,680,18730,279
1746293024590,334,02_01_ClickEnterJPetStoreDemo,200,OK,Scenario 2- Shopping Dog 2-1,text,true,,17640,797,1,7,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,250,0,151
1746293024590,250,02_01_ClickEnterJPetStoreDemo-0,301,Moved Permanently,Scenario 2- Shopping Dog 2-1,text,true,,531,390,1,7,https://unpkg.com/htmx.org@2.0.3,250,0,151
1746293024840,84,02_01_ClickEnterJPetStoreDemo-1,200,OK,Scenario 2- Shopping Dog 2-1,text,true,,17109,407,1,7,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,80,0,0
1746293005380,757,02_01_ClickEnterJPetStoreDemo,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 2- Shopping Dog 2-1,,true,,23470,1318,1,7,null,671,18788,279
1746293024597,350,01_01_ClickEnterJPetStoreDemo,200,OK,Scenario 1- Shopping Fish 1-1,text,true,,17655,797,1,7,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,248,0,147
1746293024597,248,01_01_ClickEnterJPetStoreDemo-0,301,Moved Permanently,Scenario 1- Shopping Fish 1-1,text,true,,531,390,1,7,https://unpkg.com/htmx.org@2.0.3,248,0,147
1746293024846,101,01_01_ClickEnterJPetStoreDemo-1,200,OK,Scenario 1- Shopping Fish 1-1,text,true,,17124,407,1,7,https://unpkg.com/htmx.org@2.0.3/dist/htmx.min.js,82,0,0
